"Бренд","MPN","Наименование продукта","Цена","URL-адрес страницы","Данные о наличии продукта","Категория товара","Оценка товара","Количество отзывов"
"Samsung","WW60J4210HSULD","Стиральная машина Samsung WW60J4210HSULD",3903500,"https://goodzone.uz/product/stiralnaya-mashina-samsung-ww60j4210hsuld",5,"Стиральные машины",0,0
"Samsung","RB29FERNDSA","Холодильник Samsung RB29FERNDSA",5570400,"https://goodzone.uz/product/kholodilnik-samsung-rb29ferndsa",2,"Холодильники",0,0
"Samsung","RB37J5461EF","Холодильник Samsung RB37J5461EF",8545500,"https://goodzone.uz/product/kholodilnik-samsung-rb37j5461ef",2,"Холодильники",0,0
"Samsung","WW80K62E61SD","Стиральная машина Samsung WW80K62E61SD",4663750,"https://goodzone.uz/product/stiralnaya-mashina-samsung-ww80k62e61sd",0,"Стиральные машины",0,0
"Samsung","WW65K42E09SD","Стиральная машина Samsung WW65K42E09SD  Addwash",4958500,"https://goodzone.uz/product/stiralnaya-mashina-samsung-ww65k42e09sd-addwash",0,"Стиральные машины",0,0
"Samsung","VCC5356C3C/XEV","Пылесос Samsung VCC5356C3C/XEV",1160500,"https://goodzone.uz/product/pylesos-samsung-vcc5356c3c-xev",1,"Пылесосы",0,0
"Samsung","VCC5377C3K/XEV","Пылесос Samsung VCC5377C3K/XEV",1223800,"https://goodzone.uz/product/pylesos-samsung-vcc5377c3k-xev",4,"Пылесосы",0,0
"Samsung","VCC4581VCK/XEV","Пылесос Samsung VCC4581VCK/XEV",1160500,"https://goodzone.uz/product/pylesos-samsung-vcc4581vck-xev",0,"Пылесосы",0,0
"Samsung","VC18M2110SB","Пылесос Samsung VC18M2110SB",1192150,"https://goodzone.uz/product/pylesos-samsung-vc18m2110sb",0,"Пылесосы",0,0
"Samsung","ME83ARW-K/BW","Микроволновая печь Samsung ME83ARW-K/BW",1086650,"https://goodzone.uz/product/mikrovolnovaya-pech-samsung-me83arw-k-bw",3,"Микроволновые печи",0,0
"Samsung","MS23F301TAWKBW","Микроволновая печь Samsung MS23F301TAWKBW",1339850,"https://goodzone.uz/product/mikrovolnovaya-pech-samsung-ms23f301tawkbw",8,"Микроволновые печи",0,0
"Samsung","MS23F302TASKBW","Микроволновая печь Samsung MS23F302TASKBW",1329300,"https://goodzone.uz/product/mikrovolnovaya-pech-samsung-ms23f302taskbw",0,"Микроволновые печи",0,0
"Samsung","GE81ARW-K/BW","Микроволновая печь Samsung GE81ARW-K/BW",1097200,"https://goodzone.uz/product/mikrovolnovaya-pech-samsung-ge81arw-k-bw",3,"Микроволновые печи",0,0
"Samsung","RT62K7110SL","Холодильник Samsung RT62K7110SL",11077500,"https://goodzone.uz/product/kholodilnik-samsung-rt62k7110sl",0,"Холодильники",0,0
"Samsung","RT25HAR4DWW","Холодильник Samsung RT25HAR4DWW",4984875,"https://goodzone.uz/product/kholodilnik-samsung-rt25har4dww",1,"Холодильники",0,0
"Samsung","GE83ARW-K/BW","Микроволновая печь Samsung GE83ARW-K/BW",1234350,"https://goodzone.uz/product/mikrovolnovaya-pech-samsung-ge83arw-k-bw",10,"Микроволновые печи",0,0
"Samsung","ME83KRW-1KBW","Микроволновая печь Samsung ME83KRW-1KBW",1097200,"https://goodzone.uz/product/mikrovolnovaya-pech-samsung-me83krw-1kbw",3,"Микроволновые печи",0,0
"Samsung","FW77SSTR","Встраиваемая микроволновая печь Samsung FW77SSTR",2426500,"https://goodzone.uz/product/vstraivaemaya-mikrovolnovaya-pech-samsung-fw77sstr",2,"Микроволновые печи",0,0
"Samsung","RB29FSRNDWW","Холодильник Samsung RB29FSRNDWW",5602050,"https://goodzone.uz/product/kholodilnik-samsung-rb29fsrndww",1,"Холодильники",0,0
"Samsung","VC18M3120V1/EV","Пылесос Samsung VC18M3120V1/EV",1318750,"https://goodzone.uz/product/pylesos-samsung-vc18m3120v1-ev",0,"Пылесосы",0,0
"Samsung","VC18M3120VU","Пылесос Samsung VC18M3120VU",1392600,"https://goodzone.uz/product/pylesos-samsung-vc18m3120vu",23,"Пылесосы",0,0
"Samsung","C24F396FHI","Монитор Samsung C24F396FHI",1740750,"https://goodzone.uz/product/monitor-samsung-c24f396fhi",3,"Мониторы",0,0
"Samsung","SM-T385 (GOLD)","Планшет Samsung Galaxy Tab A 8.0 SM-T385 (Gold)",2226050,"https://goodzone.uz/product/planshet-samsung-galaxy-tab-a-8-0-sm-t385-gold",0,"Планшеты",0,0
"Samsung","SM-T295","Планшет Samsung Galaxy Tab A 8.0 SM-T295",1877900,"https://goodzone.uz/product/planshet-samsung-galaxy-tab-a-8-0-sm-t295",4,"Планшеты",0,0
"Samsung","SM-R370","Фитнес-браслет Samsung Galaxy Fit SM-R370 (Silver)",1213250,"https://goodzone.uz/product/fitnes-braslet-samsung-galaxy-fit-sm-r370-silver",1,"Фитнес-браслеты и умные часы",0,0
