"Бренд","MPN","Наименование продукта","Цена","URL-адрес страницы","Данные о наличии продукта","Категория товара","Оценка товара","Количество отзывов"
"Hitachi","R-BG410PUC6X XGR","Холодильник Hitachi R-BG410PUC6X XGR",8914750,"https://goodzone.uz/product/kholodilnik-hitachi-r-bg410puc6x-xgr",5,"Холодильники",4,1
"Hitachi","R-BG410PUC6X GS","Холодильник Hitachi R-BG410PUC6X GS",8809250,"https://goodzone.uz/product/kholodilnik-hitachi-r-bg410puc6x-gs",1,"Холодильники",0,0
"Hitachi","R-W660PUC3 GBW","Холодильник Hitachi R-W660PUC3 GBW",13398500,"https://goodzone.uz/product/kholodilnik-hitachi-r-w660puc3-gbw",1,"Холодильники",0,0
"Hitachi","R-W720FPUC1X GBW","Холодильник Hitachi R-W720FPUC1X GBW",15614000,"https://goodzone.uz/product/kholodilnik-hitachi-r-w720fpuc1x-gbw",1,"Холодильники",0,0
"Hitachi","R-W720FPUC1X GGR","Холодильник Hitachi R-W720FPUC1X GGR",15614000,"https://goodzone.uz/product/kholodilnik-hitachi-r-w720fpuc1x-ggr",1,"Холодильники",0,0
"Hitachi","R-M700AGPUC4X MIR","Холодильник Hitachi R-M700AGPUC4X MIR",27957500,"https://goodzone.uz/product/kholodilnik-hitachi-r-m700agpuc4x-mir",1,"Холодильники",0,0
"Hitachi","R-M700AGPUC4X DIA","Холодильник Hitachi R-M700AGPUC4X DIA",27957500,"https://goodzone.uz/product/kholodilnik-hitachi-r-m700agpuc4x-dia",2,"Холодильники",0,0
"Haier","C3FE744CMJRU","Холодильник Haier C3FE744CMJRU",10708250,"https://goodzone.uz/product/kholodilnik-haier-c3fe744cmjru",0,"Холодильники",0,0
"Haier","A2F635CWMV","Холодильник Haier A2F635CWMV",7965250,"https://goodzone.uz/product/kholodilnik-haier-a2f635cwmv",1,"Холодильники",0,0
"Haier","A2F635CCMV","Холодильник Haier A2F635CCMV",8703750,"https://goodzone.uz/product/kholodilnik-haier-a2f635ccmv",0,"Холодильники",0,0
"Haier","A2F635CRMV","Холодильник Haier A2F635CRMV",8492750,"https://goodzone.uz/product/kholodilnik-haier-a2f635crmv",0,"Холодильники",0,0
"Haier","A2F637CXMV","Холодильник Haier A2F637CXMV",8492750,"https://goodzone.uz/product/kholodilnik-haier-a2f637cxmv",2,"Холодильники",0,0
"Haier","C3F532CWG","Холодильник Haier C3F532CWG",5749750,"https://goodzone.uz/product/kholodilnik-haier-c3f532cwg",2,"Холодильники",0,0
"Haier","C3F532CMSG","Холодильник Haier C3F532CMSG",5855250,"https://goodzone.uz/product/kholodilnik-haier-c3f532cmsg",4,"Холодильники",0,0
"Haier","C2F536CMSG","Холодильник Haier C2F536CMSG",6171750,"https://goodzone.uz/product/kholodilnik-haier-c2f536cmsg",3,"Холодильники",0,0
"Haier","C2F537CWG","Холодильник Haier C2F537CWG",6277250,"https://goodzone.uz/product/kholodilnik-haier-c2f537cwg",1,"Холодильники",0,0
"Haier","C2F537CSG","Холодильник Haier C2F537CSG",6277250,"https://goodzone.uz/product/kholodilnik-haier-c2f537csg",0,"Холодильники",0,0
"Haier","C2F636CFRG","Холодильник Haier C2F636CFRG",7279500,"https://goodzone.uz/product/kholodilnik-haier-c2f636cfrg",0,"Холодильники",0,0
"Haier","C2F636CXMV","Холодильник Haier C2F636CXMV",7121250,"https://goodzone.uz/product/kholodilnik-haier-c2f636cxmv",2,"Холодильники",0,0
"Haier","C2F637CWMV","Холодильник Haier C2F637CWMV",7015750,"https://goodzone.uz/product/kholodilnik-haier-c2f637cwmv",3,"Холодильники",0,0
"Haier","C2F637CXRG","Холодильник Haier C2F637CXRG",7543250,"https://goodzone.uz/product/kholodilnik-haier-c2f637cxrg",4,"Холодильники",0,0
"Haier","C2F637CCG","Холодильник Haier C2F637CCG",7543250,"https://goodzone.uz/product/kholodilnik-haier-c2f637ccg",2,"Холодильники",0,0
"Braun","J 500","Соковыжималка Braun J500",1793500,"https://goodzone.uz/product/sokovyzhimalka-braun-j500",0,"Соковыжималки",0,0
"Braun","JB 3010","Блендер BRAUN JB 3010",1033900,"https://goodzone.uz/product/blender-braun-jb-3010",1,"Блендеры",0,0
"Haier","NULL","Электрический водонагреватель Haier ES8V-Q1(R)",770150,"https://goodzone.uz/product/elektricheskii-vodonagrevatel-haier-es8v-q1-r",2,"Электрические водонагреватели",5,1
"Tenda","N301","Wifi-роутер Tenda N301",205725,"https://goodzone.uz/product/wifi-router-tenda-n301",6,"Wifi-роутеры и модемы",5,1
"Haier","ES8V-Q2(R)","Электрический водонагреватель Haier ES8V-Q2(R)",770150,"https://goodzone.uz/product/elektricheskii-vodonagrevatel-haier-es8v-q2-r",1,"Электрические водонагреватели",0,0
"Haier","ES15V-Q1(R)","Электрический водонагреватель Haier ES15V-Q1(R)",1012800,"https://goodzone.uz/product/elektricheskii-vodonagrevatel-haier-es15v-q1-r",3,"Электрические водонагреватели",0,0
"Haier","ES15V-Q2(R)","Электрический водонагреватель Haier ES15V-Q2(R)",1012800,"https://goodzone.uz/product/elektricheskii-vodonagrevatel-haier-es15v-q2-r",2,"Электрические водонагреватели",0,0
"Polaris","PHB 1044A","Блендер Polaris PHB 1044A",506400,"https://goodzone.uz/product/blender-polaris-phb-1044a",0,"Блендеры",0,0
"LG","GN-C222SQCN","Холодильник LG GN-C222SQCN",4853000,"https://goodzone.uz/product/kholodilnik-lg-gn-c222sqcn",0,"Холодильники",0,0
"LG","GN-C272SQCN","Холодильник LG GN-C272SQCN",4958500,"https://goodzone.uz/product/kholodilnik-lg-gn-c272sqcn",0,"Холодильники",0,0
"LG","GN-C272SLCN","Холодильник LG GN-C272SLCN",4958500,"https://goodzone.uz/product/kholodilnik-lg-gn-c272slcn",0,"Холодильники",0,0
"LG","GN-H702HEHU","Холодильник LG GN-H702HEHU",8967500,"https://goodzone.uz/product/kholodilnik-lg-gn-h702hehu",1,"Холодильники",0,0
"LG","GC-Q247CABV","Холодильник LG GC-Q247CABV",15086500,"https://goodzone.uz/product/kholodilnik-lg-gc-q247cabv",0,"Холодильники",0,0
"LG","F4J6TM0W","Стиральная машина LG F4J6TM0W",5222250,"https://goodzone.uz/product/stiralnaya-mashina-lg-f4j6tm0w",0,"Стиральные машины",0,0
"LG","NULL","Стиральная машина LG F4J5VN3W",4536500,"https://goodzone.uz/product/stiralnaya-mashina-lg-f4j5vn3w",4,"Стиральные машины",0,0
"LG","FH0G7NDN0","Стиральная машина LG FH0G7NDN0",3745250,"https://goodzone.uz/product/stiralnaya-mashina-lg-fh0g7ndn0",0,"Стиральные машины",0,0
"LG","F0J5NN3W","Стиральная машина LG F0J5NN3W",3745250,"https://goodzone.uz/product/stiralnaya-mashina-lg-f0j5nn3w",4,"Стиральные машины",0,0
"LG","NULL","Стиральная машина LG F2J6NS1W",4061750,"https://goodzone.uz/product/stiralnaya-mashina-lg-f2j6ns1w",0,"Стиральные машины",0,0
"LG","F2J6NS8S","Стиральная машина LG F2J6NS8S",4378250,"https://goodzone.uz/product/stiralnaya-mashina-lg-f2j6ns8s",3,"Стиральные машины",0,0
"LG","F4J8VS2W","Стиральная машина LG F4J8VS2W",5996250,"https://goodzone.uz/product/stiralnaya-mashina-lg-f4j8vs2w",0,"Стиральные машины",0,0
"LG","FH4G1JCH2N","Стиральная машина LG FH4G1JCH2N",8756500,"https://goodzone.uz/product/stiralnaya-mashina-lg-fh4g1jch2n",0,"Стиральные машины",0,0
"LG","FH6G1BCH2N","Стиральная машина LG FH6G1BCH2N",10180750,"https://goodzone.uz/product/stiralnaya-mashina-lg-fh6g1bch2n",0,"Стиральные машины",0,0
"LG","MH6595CIS/00","Микроволновая печь LG MH6595CIS/00",1688000,"https://goodzone.uz/product/mikrovolnovaya-pech-lg-mh6595cis-00",0,"Микроволновые печи",0,0
"LG","MJ3965AIS/00","Микроволновая печь LG MJ3965AIS/00",2215500,"https://goodzone.uz/product/mikrovolnovaya-pech-lg-mj3965ais-00",0,"Микроволновые печи",0,0
"LG","VC53000KNTC","Пылесос LG VC53000KNTC",1508650,"https://goodzone.uz/product/pylesos-lg-vc53000kntc",1,"Пылесосы",0,0
"LG","VC53001KNTC","Пылесос LG VC53001KNTC",1508650,"https://goodzone.uz/product/pylesos-lg-vc53001kntc",0,"Пылесосы",0,0
"LG","VC53001MNTC","Пылесос LG VC53001MNTC",1382050,"https://goodzone.uz/product/pylesos-lg-vc53001mntc",1,"Пылесосы",0,0
"LG","VC53202NHTR","Пылесос LG VC53202NHTR",1564500,"https://goodzone.uz/product/pylesos-lg-vc53202nhtr",5,"Пылесосы",0,0
"LG","VK76W02HY","Пылесос LG VK76W02HY",1603600,"https://goodzone.uz/product/pylesos-lg-vk76w02hy",2,"Пылесосы",0,0
"LG","VK76R03HY","Пылесос LG VK76R03HY",1603600,"https://goodzone.uz/product/pylesos-lg-vk76r03hy",1,"Пылесосы",0,0
"LG","VK76A06NDB","Пылесос LG VK76A06NDB",1255450,"https://goodzone.uz/product/pylesos-lg-vk76a06ndb",1,"Пылесосы",0,0
"LG","VK76A06NDR","Пылесос LG VK76A06NDR",1255450,"https://goodzone.uz/product/pylesos-lg-vk76a06ndr",0,"Пылесосы",0,0
"LG","NULL","Пылесос LG VC83202UHA",1993950,"https://goodzone.uz/product/pylesos-lg-vc83202uha",0,"Пылесосы",0,0
"LG","VC83204UHAV","Пылесос LG VC83204UHAV",2088900,"https://goodzone.uz/product/pylesos-lg-vc83204uhav",0,"Пылесосы",0,0
"LG","VC73201UHAR","Пылесос LG VC73201UHAR",2057250,"https://goodzone.uz/product/pylesos-lg-vc73201uhar",0,"Пылесосы",0,0
"LG","VK89304HUM","Пылесос LG VK89304HUM",2025600,"https://goodzone.uz/product/pylesos-lg-vk89304hum",0,"Пылесосы",0,0
